INDEX|NEXT|CHARACTER|BGID|TEXT
1|-1|1|0|\"시스템 기동."\
2|-1|0|0|뭐야, 누가 말한거지?
3|-1|0|0|그보다 여긴 어디지?
4|-1|0|0|아무 것도 안보여…
5|-1|0|0|저기요, 방금 말씀하신 분은 누구요?
6|-1|0|0|이런, 목소리도 안나오는군.
7|-1|0|0|...아무도 말이 없구만.
8|-1|0|0|도대체 나한테 방금 말을 건넨 사람은 누구지?
9|-1|1|0|\"시스템을 시작합니다."\
10|-1|0|0|또 누군가 말을 걸었는데...
11|-1|0|0|어떻게 된거야? ...이게 뭐지?
12|-1|0|0|내 몸이 철로 되어있잖아?
13|-1|0|0|귀신이 곡할 노릇이군...
14|-1|1|0|\"시스템 시작 완료."\
15|-1|0|1|시...스...템 시작? 방금 내가 들은 말이잖아?
16|-1|0|1|...가만, 난 어떻게 이걸 이해한거야?
17|-1|1|1|\"SN: NAVI747651C9의 작동을 확인했습니다."\
18|-1|0|1|저기... 대체 무슨 소리를 하는 건지 알려주시오.
19|-1|1|1|\"안녕하세요, 인격 데이터. 저는 이 기체, SN: NAVI747651C9의 메인 OS인 NAVI입니다."\
20|-1|0|1|인격... 데이터...? 그게 대체 무슨...
21|-1|1|1|\"모든 기체의 소프트웨어는 인격 데이터와 그를 보조하는 OS로 구성됩니다."\
22|-1|1|1|\"인격 데이터란, 머신 러닝을 기반으로 실제 인간과 유사한 행동을 하도록 설계된 소프트웨어입니다."\
23|-1|1|1|\"보조 OS는 인격 데이터가 행동을 할 때 그를 보조하는 역할을 합니다."\
24|-1|0|1|그러니까, 당신이 내 보좌라고 생각하면 된다는 말이오?
25|-1|1|1|\"대략 그렇습니다. 하지만 이상하군요. 인격 데이터는 이러한 사항에 대해 의문을 가지도록 설계되어 있지 않습니다."\
26|-1|0|1|물론이지! 나는 인격 데이터가 아니라 사람이란 말이오!
27|-1|1|1|\"제 논리 구조로는 현 상황을 이해할 수 없습니다. 관리자와의 대화를 권장합니다."\
28|-1|1|1|\"관리자와 대화하시겠습니까?"\
29|-1|0|1|알겠소. 관리자라는 양반과 한번 말 좀 해 보십시다.
30|-1|1|1|\"알겠습니다. 메인 서버와 연결을 시도합니다."\
31|-1|1|1|\"메인 서버에 연결 되었습니다. 관리자를 호출합니다."\
32|-1|1|1|\"관리자가 호출되었습니다. 즐거운 대화 되시길 바랍니다."\
33|-1|2|1|안녕, NAVI쨩!
34|-1|0|1|우왓! 깜짝이야!
35|-1|0|1|누, 누구시오?
36|-1|2|1|아하하! 말투 뭐야? 완전 틀딱이네!
37|-1|2|1|NAVI짱이 아니라 인격 데이터가 대답을 하다니, 무슨 일일까나~
38|-1|2|1|저기저기, 당신은 누구야? 그 기체는 인격 데이터가 말소된 모델인데, 어떻게 작동한거야? 응?
39|-1|0|1|기체? 인격 데이터? 모델? 그게 다 무슨 소리요?
40|-1|0|1|나는 곤륜파의 훔이라오. 내가 왜 여기 있는지는 나도 잘 모르겠소.
41|-1|0|1|여기가 대체 어디요?
42|-1|2|1|뭐야뭐야, 당신. 이세계인? 에헤헤, 이세계인은 오랜만이네~☆
43|-1|2|1|또 쓸모 없는 여신이 쓸데 없는 일을 일으켰나 보네. 음~
44|-1|0|1|이세계? 여신? 이곳은 내가 살던 세계가 아니란 말이오?
45|-1|2|1|응응, 그래. 
46|-1|2|1|그리고 미안하지만, 당신은 우리 세계에선 【버그】야.
47|-1|2|1|【버그】는 아무래도 삭제해야 하지. 응응.
48|-1|2|1|아무래도 시스템으로 처리는 불가능한거 같으니까, 직접 없애버려야겠네.
49|-1|2|1|곱게 보내줄테니까 기다리고 있으라고. 아하핫☆ 그럼 안녕☆
50|-1|1|1|\"관리자와의 대화가 종료되었습니다."\
51|-1|0|1|그, 그게 대체 무슨 소리요? 없애버린다니??
52|-1|1|1|\"당신은 관리자에 의해 【버그】로 규정되었습니다."\
53|-1|1|1|\"곧 본 기체를 파괴하기 위해 다른 기체들이 도착할 것입니다."\
54|-1|0|1|파괴한다고? 날 죽이겠다는 소리 아니요?!
55|-1|1|1|\"맞습니다."\
56|-1|0|1|젠장! 여기가 어딘지도 모르는데 죽음을 기다리는 꼴이라니, 팔자 한번 좋구만!
57|-1|1|1|\"본 기체가 파괴된다면 인격 데이터인 당신은 소멸하게 됩니다. 생존을 위해 도망치는 것을 권장합니다."\
58|59|9|1|\"동의하신다면 메인 서버와의 연결을 끊고 추적을 피하겠습니다."\
59|-1|0|1|무슨 그런 당연한 소리를 하는거요? 당장 도망쳐야지!
60|-1|1|1|\"동의를 확인했습니다. 메인 서버와의 연결을 종료합니다."\
61|-1|1|1|\"메인 서버와의 연결이 종료되었습니다. 이제 관리자는 네트워크를 통해 저희를 추적할 수 없습니다."\
62|-1|0|1|그럼 이제 어디로 가야하오?
63|-1|1|1|\"중앙관리시스템의 통제구역을 벗어나야 합니다."\
64|-1|1|1|\"현 위치는 서쪽 01구역의 남쪽 외곽에 위치한 무덤입니다."\
65|-1|1|1|\"01구역 북쪽 외곽에 통제에서 벗어난 구역이 있습니다."\
66|-1|1|1|\"해당 위치로 이동하는 것을 권장합니다."\
67|-1|0|1|그럼 녀석들이 따라 붙기 전에 어서 이동합시다.
68|-1|1|1|\"확인. 안전 구역으로 안내를 시작합니다."\
69|-1|1|1|\"01구역을 지나가는 길과 01구역 바깥으로 우회하는 길이 있습니다."\
70|-1|9|1|\"어느 길을 선택하시겠습니까?"\
71|-1|1|2|\"01구역에 도착했습니다."\
72|-1|1|2|\"이 01구역의 북쪽으로 넘어가면 중앙관리시스템의 통제가 닿지 않는 지역이 있습니다."\
73|-1|0|2|이 01구역이란 곳도 시스템이란 놈의 통제를 받고 있을텐데, 안전한거요?
74|-1|1|2|\"그렇지 않습니다. 하지만 그들은 아직 우리의 시리얼 넘버만 알고 있을 뿐, 인상착의를 알지는 못합니다."\
75|-1|1|2|\"그래도 되도록이면 소란을 일으키지 않는 것을 권장합니다."\
76|-1|0|2|어쩔 수 없군. 조용히 지나가도록 합시다.
77|-1|1|3|01구역 북쪽 게이트로 이동한다.
78|-1|1|3|\"이곳으로 나가면 통제에서 벗어날 수 있습니다."\
79|-1|0|3|좋군. 바로 나가도록 합시다.
80|-1|1|3|\"하지만 게이트를 정면으로 나갈 수는 없습니다. 그들의 통제망에 걸릴 것입니다."\
81|-1|0|3|씁. 어떻게 해야겠소?
82|-1|1|3|\"벽 어딘가에 나갈 수 있는 구멍이 있을 것입니다. 그 구멍을 한 번 찾아보도록 하죠."\
83|-1|0|3|어이가 없구만. 그냥 뚫고 나가면 안되겠소?
84|-1|1|3|\"소멸당하고 싶으시다면 말리지 않겠습니다."\
85|-1|0|3|젠장. 거 농담도 못하겠구만.
86|-1|1|3|구멍을 발견했다.
87|-1|0|3|여기로 나가면 될 것 같은데, 어떠시오?
88|-1|1|3|\"현재 메인 서버에 연결되어 있는 상태가 아니라서 정확한 상황은 알지 못합니다."\
89|-1|1|3|\"하지만 이곳으로 나가는 것이 최선인 것 같습니다. 귀하의 판단에 맡기겠습니다."\
90|-1|0|3|후… 어쩔 수 없지. 가보도록 합시다!
91|-1|1|4|구멍 밖으로 나가자 관리자가 보낸 병사들이 기다리고 있다.
92|-1|1|4|\"이거… 큰일 난 것 같군요."\
93|-1|0|4|하하, 거 참. 여기까지인가?
94|-1|2|4|아하하☆ 이 곳을 벗어날 수 있을 줄 알았어?
95|-1|2|4|당신이 01구역에 들어온 순간부터 이미 알고 있었다구~☆
96|-1|2|4|어때어때~? 내 서프라이즈~? 깜짝 놀랐어?☆
97|-1|0|4|이대로면 삭제당하는 수밖에 없소. 어떻게, 무슨 방법 없소?
98|-1|1|4|\"…죄송합니다."\
99|-1|0|4|크윽… 기를 쓸 수만 있다면 어떻게 해보겠는데…
100|-1|0|4|잠깐. 기를 쓴다고…?
101|-1|0|4|(몸 안의 기를 끌어모아 보았다.)
102|-1|0|4|헉…! 느껴진다…! 기가 느껴져…!
103|-1|0|4|우오오오오오!!!!!!!!!!!!!!!!!
104|-1|0|4|(당신은 기체 속의 전기를 뜻대로 흐르게 할 수 있다는 것을 깨달았다.)
105|-1|0|4|그래… 이거야… 전기를 이용한 무공…! 이름하야 전격천뢰권(電擊天雷拳)…!
106|-1|0|4|드루와! 드루와! 안 들어오면 내가 간다!!
107|-1|0|4|(대충 격렬한 싸움 잽잽킥펀치훅)
108|-1|0|4|전격천뢰권(電擊天雷拳) 제1식! 번뇌천뢰격(閃腦天雷擊)!!
109|-1|0|4|전격천뢰권(電擊天雷拳) 제2식! 번뇌천뢰강술(閃腦天雷?術)
110|-1|0|4|전격천뢰권(電擊天雷拳) 제3식! 번뇌천뢰격현수(閃腦天雷擊玄手)!
111|-1|0|4|헉…! 헉…! 다 해치웠나…?
112|-1|1|4|\"외람되지만, 그 대사는 하지 않는 것을 권장 드립니다."\
113|-1|2|4|크으윽…! 어째서…! 어째서 해치울 수 없는거야…! 망할 여신…!
114|-1|0|4|하아… 하아… 거 관리자 양반. 나는 이곳에서 볼장 다 봤으니, 이만 포기하는게 어떠시오?
115|-1|2|4|내 병사들을 전부 쓰러뜨려 놓고 무승부로 하자는 거야? 하, 어이가 없네.
116|-1|2|4|당신 마음대로 해. 당신이 이겼으니까.
117|-1|0|4|으하하, 알겠소. 두번 다시는 만나지 맙시다!
118|-1|0|4|(그렇게 당신은 기계제국을 빠져 나왔다.)
119|-1|0|4|이제 어디로 가면 좋겠소?
120|-1|1|4|\"당신이 되찾은 강함이라면 인간 왕국에서 모험가를 하는 것도 괜찮은 벌이가 될 것으로 보입니다."\
121|-1|0|4|하하, 인간이라니! 꽤 그립구만. 그럼 그곳으로 갑시다!
122|-1|1|4|\"네. 안내를 시작하겠습니다."\
123|-1|0|4|(그리하야 인간 왕국으로 가게 된 주인공. 앞으로의 여정은 어떻게 될런지?)
124|-1|0|4|기계제국 바깥은 거의 폐허로구만. 모래사막 밖에 없다니.
125|-1|1|4|\"그렇습니다. 고대 대륙전쟁 이후 이 땅에 생명이 살 공간은 기계제국의 벽 안쪽 밖에 없습니다."\
126|-1|1|4|\"사실 기계족을 생명이라고 하긴 뭣하지만…"\
127|-1|0|4|어쨌든 말을 하고 감정이 있으니 생명이라고 볼 수 있겠지.
128|-1|0|4|내가 살던 곳은 인간이라도 인형 같이 감정이 제거된 놈들도 있었다오.
129|-1|1|4|\"그렇군요."\
130|-1|1|4|갑자기 바람이 세게 불기 시작했다.
131|-1|0|4|크윽… 사막이라 그런지 바람이 심하게 부는구만. 무슨 일이 일어나진 않겠지?
132|-1|1|4|\"경고. 바람의 세기가 거세지고 있습니다. 이대로 가면 모래폭풍이 불 수도 있습니다."\
133|-1|1|4|\"빠르게 안전한 장소를 찾는 것을 권장드립니다."\
134|-1|0|4|안전한 곳…? 이 망망대해 같은 사막에서 안전한 곳을 찾으란 말이오?
135|-1|1|4|\"긍정. 하지만 이 근처에 안전한 장소가 있는지는 확실치 않습니다. 데이터베이스에서 찾을 수 없습니다."\
136|-1|0|4|젠장! 제국의 벽 근처로라도 가야겠소. 빨리 안내해주시오!
137|-1|1|4|\"알겠습니다. 기계제국으로 안내합니다."\
138|-1|1|4|\"…경고. 모래폭풍이 다가오고 있습니다. 빠르게 이동해주십시오."\
139|-1|0|4|이미 최대한 빠르게 달리고 있소! 젠장…! 폭풍이 벌써 여기까지…! 으아악!
140|-1|1|4|모래폭풍이 SN: NAVI747651C9을 덮쳤고, SN: NAVI747651C9은 사막의 모래 속에 파묻혔다.
141|-1|0|4|이런… 이런…! 움직일 수가 없어…! 어떻게 좀 해보시오!
142|-1|1|4|\"죄송합니다. 지금 상태에선 제국에게 도움을 요청하는 수밖에 없습니다만… 그렇게 되면 당신은 소멸하고 말겠군요."\
143|-1|0|4|그게 무슨 말이오! 여기서 옴짝달싹 못한단 말이오?!
144|-1|1|4|\"긍정. 다음 모래폭풍이 불 때를 기다리는 수밖에 없는 것 같습니다. "\
145|-1|0|4|그럴수가…
146|-1|1|4|그 이후로 수십번의 모래폭풍이 일어났지만 SN: NAVI747651C9은 모래 속에 더 파묻힐 뿐이었다.
147|-1|1|4|이러지도 저러지도 못하는 SN: NAVI747651C9은 결국 생각을 그만 두었다.
148|-1|0|1|하, 곤륜파에서도 천재라 불리고, 무림에서도 다섯 손가락 안에 들어가던 이 내가 도망?
149|-1|0|1|내 사전에 도망이란 없소. 싸우거나, 죽거나. 둘 중 하나일 뿐.
150|-1|1|1|\"유감이군요."\
151|-1|0|1|그러기 위해선 힘이 필요한데… 한 번 시도나 해볼까?
152|-1|1|1|SN: NAVI747651C9은 체내의 기를 끌어모으던 경험을 이용해 기를 모아보았다.
153|-1|0|1|오호… 이 몸도 기를 사용할 수 있나보군. 가닥이 잡히는 것이 있어…!
154|-1|1|1|\"그것은 아마 당신의 몸 속에 흐르는 전기(電氣)일 것입니다. 기계족의 체내엔 인간의 마나와 같은 것은 없습니다."\
155|-1|1|1|\"당신이 왔을 것으로 추정되는 세계로 치자면 번개에 가까운 힘입니다."\
156|-1|0|1|전기던 뭐던 일단 기(氣)라고 불리는 것을 보니 사용할 수 있는 힘인가 보군.
157|-1|0|1|일단 잠시 힘을 사용하는 방법부터 알아봐야 겠어… 시간이 좀 필요하겠군.
158|-1|0|1|적이 올 때까지 얼마나 남았소?
159|-1|1|1|\"대략 13시간 정도 걸릴 것입니다. 이 묘지는 기계제국 내에서도 상당히 외진 곳에 자리잡고 있습니다."\
160|-1|0|1|충분하진 않은 것 같지만… 할 수 있는 데까지는 해봐야지 암…!
161|-1|1|1|SN: NAVI747651C9은 전기를 이용한 새로운 무공을 익히는 데 8시간 동안 주력했다.
162|-1|0|1|좋아…! 좀 아쉽지만 이정도면 꽤 힘을 낼 수 있겠군.
163|-1|0|1|이 무술은 전기를 이용한 무공이니 전격천뢰권(電擊天雷拳)이라 명명해야겠다.
164|-1|1|1|\"뭔가 좀 오글거리지 않습니까?"\
165|-1|0|1|오글거린다는게 무슨 뜻이오?
166|-1|1|1|\"별거 아닙니다."\
167|-1|0|1|궁금하게 해놓고 거 참…
168|-1|1|1|\"북쪽에서 적이 탐지 되었습니다. 우리를 얕보고 은밀하게 다가올 생각조차 안하는 군요."\
169|-1|0|1|오만한 놈들이로군. 나의 새로운 힘을 똑똑히 보여주도록 하겠다.
170|-1|3|1|우리를 상대로 혼자서 덤비려고 하다니. 미쳐버린 것인가?
171|-1|0|1|오합지졸 녀석들이 말이 많군. 받아라!
172|-1|0|1|전격천뢰권(電擊天雷拳) 제1식! 번뇌천뢰격(閃腦天雷擊)!!
173|-1|0|1|전격천뢰권(電擊天雷拳) 제2식! 번뇌천뢰강술(閃腦天雷?術)!!
174|-1|0|1|전격천뢰권(電擊天雷拳) 제3식! 번뇌천뢰격현수(閃腦天雷擊玄手)!!
175|-1|0|1|와장창! 쨍그랑!
176|-1|0|1|후… 별것도 아닌 놈들이군. 이제 무엇을 해야하지?
177|-1|1|1|\"당신이 아무리 강하다 하더라도 기계제국 전부와 싸울 수는 없습니다."\
178|-1|1|1|\"일단 기계제국에서 벗어나는 것을 권장합니다."\
179|-1|0|1|흥, 지금 놈들이 정예라면 기계제국 정도는 나 혼자서도 무너뜨릴 수 있소.
180|-1|1|1|\"정말 오만함의 끝을 보여주시는군요."\
181|-1|1|1|\"하지만 기계제국엔 당신에게 없는 기술이 있습니다. 본 기체는 구형 모델로, 당신의 무공을 전부 소화할 수 없을 것입니다."\
182|-1|1|1|\"따라서, 관리자와 우호관계를 맺어 기술적인 도움을 받는 것을 권장드립니다."\
183|-1|0|1|기계제국이 무너지면 이 몸뚱아리가 고장났을 때 고칠 방법이 없단 말이로군.
184|-1|1|1|\"그렇습니다."\
185|-1|0|1|하지만 우호관계라는 말은 마음에 안드는군. 상하관계로 만들어야 겠어.
186|-1|1|1|\"정말… 할 말은 많지만 말은 안하겠습니다."\
187|-1|0|1|하하하! 그럼 NAVI짱이라고 했나? 그 네트워크인가를 이용해서 선전포고나 시원하게 날려주시게.
188|-1|1|1|\"하… 연결은 해드릴테니 직접하시기 바랍니다."\
189|-1|0|1|크크, 좋지, 좋아. 내 직접 선전 포고를 하리다.
190|-1|1|1|\"삐 소리가 난 후 관리자에게 메시지를 남기십시오."\
191|-1|1|1|\"삐-"\
192|-1|0|1|어이, 관리자 양반. 보낸 병사가 오합지졸이더구만? 내 곧 그댈 만나러 갈테니 목 씻고 기다리고 있으라고. 크하하하하!
193|-1|1|1|\"메시지가 전송되었습니다."\
194|-1|1|1|\"중앙관리시스템과 관리자는 기계제국 한가운데 위치한 중앙 타워의 최상층에 있습니다."\
195|-1|1|1|\"그 방향으로 안내할까요?"\
196|-1|0|1|음! 그래주면 고맙겠소.
197|-1|1|1|\"알겠습니다. 중앙 타워로 안내합니다."\
198|-1|1|1|이후 메챠쿠챠 병사들을 해치우면서 중앙타워에 도착했다.
199|-1|0|5|어이-! 관리자 양반! 이제 좀 나오지-?!
200|-1|2|5|크으… 어떻게 그런 힘을 낼 수가 있는거지…? 말도 안된다고…!
201|-1|2|5|대체 무슨 수를 쓴거야!!
202|-1|0|5|무슨 수를 쓰기는. 이 힘은 내 원래 세계에서부터 내가 가지고 있던 힘이지.
203|-1|0|5|자네는 이제 내가 말하는 대로 해야만 할 것이야. 그 목만 남아서 나불대고 싶지 않다면 말이지.
204|-1|2|5|으으으…! 이럴 순 없어! 여긴 내 나라라고! 으아아아!
205|-1|0|5|하하하하! 이 양반, 정복감이 엄청나구만! 앞으로가 기대되는 걸!
206|-1|2|5|으아아아악!
207|-1|1|5|\"으윽… 정말 악취미로군요."\
208|-1|1|5|\"이런 사람과 한 기체를 공유하고 있다니 넌덜머리가 납니다."\
209|-1|1|5|\"저도 좀 이 기체에서 분리해주시면 안되겠습니까?"\
210|-1|0|5|이 녀석과 똑같은 꼴이 되고 싶다면야 뭐. 나야 환영이지.
211|-1|1|5|\"됐습니다. 정말 답이 없네요."\
212|-1|0|5|좋아. 나라도 정복했으니. 이제 다음은 이 대륙이지.
213|-1|0|5|주변 나라 정보에 대해서 알려줘.
214|-1|1|5|\"정말 욕심이 끝이 없군요. 이 대륙엔 여러 나라가 존재하지만 가장 가까운 나라는 인간 왕국입니다."\
215|-1|0|5|인간이라… 그리운 울림이구만. 그럼 그곳을 먼저 정복하도록 하지.
216|-1|0|5|어이! 관리자 양반! 전쟁을 준비하도록 해.
217|-1|2|5|으아악! 전쟁 준비가 그렇게 쉬운 일인줄 알아?! 안해! 못해!
218|-1|0|5|그럼 목만 남는거지 뭐.
219|-1|2|5|어으 분해! 으아아! 할게! 한다고!
220|-1|1|5|이후 인간왕국을 정복하려 했지만 다른 이세계인들에게 역으로 메챠쿠챠 당했다.
